danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,title
0.805,0.968,8,-7.443,0,0.07,0.00398,0.797,0.319,0.742,124.01,279943,4,techhouse,Dirtybird Players
0.731,0.834,5,-7.395,0,0.0471,0.000448,0.373,0.169,0.426,125.988,373656,4,techhouse,Beatoirt Best New Tech House
0.788,0.89,10,-6.217,0,0.0603,0.00223,0.498,0.0878,0.497,128.012,364687,4,techhouse,Tech House Elrow Secrets
0.786,0.756,11,-10.274,0,0.0559,0.0617,0.649,0.0883,0.197,125.997,401696,4,techhouse,tech house
0.727,0.929,8,-4.717,0,0.036,0.0125,0.232,0.035,0.626,124.982,166869,4,techhouse,blanc | Tech House
0.802,0.899,0,-10.569,0,0.0634,0.005,0.944,0.13,0.544,124.01,186774,4,techhouse,Tech House Pizza
0.812,0.862,7,-7.163,1,0.0542,1.96E-05,0.84,0.0349,0.885,124.988,400292,4,techhouse,tech house
0.871,0.709,9,-6.256,1,0.0541,0.000492,0.67,0.0953,0.467,124.989,395343,4,techhouse,Tech House Movement
0.728,0.933,3,-5.094,1,0.0443,0.0665,0.711,0.112,0.6,126.04,156026,4,techhouse,Tech House 2020
0.801,0.838,10,-9.664,0,0.0615,0.000165,0.914,0.0381,0.333,123.99,404501,4,techhouse,Tech House Essentials by Distortion
0.806,0.952,7,-11.724,0,0.098,0.00879,0.91,0.0502,0.645,126.015,331443,4,techhouse,Beatoirt Best New Tech House
0.742,0.957,0,-8.428,0,0.0362,0.000909,0.904,0.0819,0.39,129.993,413635,4,techhouse,Tech house
0.847,0.91,6,-4.811,0,0.113,0.0265,0.874,0.0285,0.826,125.982,236195,4,techhouse,Tech House Bangerz
0.813,0.886,1,-7.608,0,0.101,0.00938,0.864,0.107,0.427,123.003,377581,4,techhouse,Dirtybird Players
0.811,0.771,0,-10.345,1,0.0577,1.52E-05,0.845,0.0451,0.277,121.993,425410,4,techhouse,Tech House Elrow Secrets
0.721,0.743,6,-9.638,1,0.0534,0.00277,0.753,0.0916,0.597,128.005,270000,4,techhouse,Tech House Elrow Secrets
0.784,0.924,0,-7.488,0,0.0475,0.00826,0.0205,0.0686,0.803,123.988,238027,4,techhouse,Tech house
0.808,0.935,11,-6.111,0,0.0563,0.00104,0.837,0.0604,0.862,126.001,411784,4,techhouse,blanc | Tech House
0.738,0.94,11,-7.151,0,0.0497,0.000946,0.903,0.1,0.651,124.99,241920,4,techhouse,tech house
0.794,0.876,1,-9.437,1,0.0748,0.00667,0.802,0.246,0.817,132.001,335380,4,techhouse,Beatoirt Best New Tech House
0.798,0.915,1,-5.852,1,0.0699,0.00697,0.636,0.0443,0.654,126.009,404516,4,techhouse,Tech House Essentials by Distortion
0.921,0.621,10,-7.645,0,0.0525,0.0129,0.0442,0.0939,0.451,123.995,216584,4,techhouse,Dirtybird Players
0.746,0.946,10,-7.579,0,0.0417,0.000331,0.86,0.0883,0.653,121.004,380826,4,techhouse,Dirtybird//Techhouse by Mack\
0.807,0.816,3,-6.654,0,0.086,7.10E-06,0.958,0.0939,0.534,127.998,361970,4,techhouse,Dirtybird//Techhouse by Mack\
0.793,0.934,4,-7.721,1,0.0679,0.00189,0.916,0.0364,0.575,129.999,415385,4,techhouse,blanc | Tech House
0.865,0.644,7,-6.891,0,0.0689,0.0929,0.00305,0.0655,0.195,125.987,277873,4,techhouse,Tech House 2020 - Best of Techno
0.821,0.836,11,-7.697,0,0.112,0.00148,0.755,0.0834,0.618,126.992,362834,4,techhouse,Beatoirt Best New Tech House
